group_id,kept_bit,kept_prevalence,n_features,max_distance_to_kept,mean_distance_to_kept,member_bits
0,1380,14851,4,0.13722491264343262,0.06577874720096588,650;1380;1750;1873
194,728,615,2,0.12229102849960327,0.061145514249801636,728;1631
1,807,11779,2,0.1410071849822998,0.0705035924911499,807;1917
157,838,716,2,0.1635388731956482,0.0817694365978241,838;1963
18,841,3879,2,0.1756272315979004,0.0878136157989502,841;1536
324,1462,391,2,0.17990654706954956,0.08995327353477478,453;1462
25,1476,2913,2,0.16655540466308594,0.08327770233154297,350;1476
582,1926,210,2,0.18061673641204834,0.09030836820602417,474;1926
1966,0,18,1,0.0,0.0,0
40,1,2019,1,0.0,0.0,1
256,2,492,1,0.0,0.0,2
1147,3,93,1,0.0,0.0,3
947,4,117,1,0.0,0.0,4
601,5,201,1,0.0,0.0,5
2009,6,13,1,0.0,0.0,6
1136,7,94,1,0.0,0.0,7
291,8,436,1,0.0,0.0,8
643,9,185,1,0.0,0.0,9
1940,10,21,1,0.0,0.0,10
673,11,175,1,0.0,0.0,11
1784,12,35,1,0.0,0.0,12
184,13,642,1,0.0,0.0,13
130,14,873,1,0.0,0.0,14
1190,15,87,1,0.0,0.0,15
1502,16,56,1,0.0,0.0,16
1864,17,29,1,0.0,0.0,17
1865,18,29,1,0.0,0.0,18
1681,19,43,1,0.0,0.0,19
1618,20,47,1,0.0,0.0,20
883,21,127,1,0.0,0.0,21
1948,22,20,1,0.0,0.0,22
1605,23,48,1,0.0,0.0,23
686,24,172,1,0.0,0.0,24
235,25,524,1,0.0,0.0,25
1338,26,71,1,0.0,0.0,26
1249,27,80,1,0.0,0.0,27
1801,28,34,1,0.0,0.0,28
146,29,770,1,0.0,0.0,29
310,30,407,1,0.0,0.0,30
254,31,498,1,0.0,0.0,31
233,32,530,1,0.0,0.0,32
900,33,124,1,0.0,0.0,33
316,34,399,1,0.0,0.0,34
948,35,117,1,0.0,0.0,35
1817,36,33,1,0.0,0.0,36
1731,37,39,1,0.0,0.0,37
362,38,356,1,0.0,0.0,38
819,39,140,1,0.0,0.0,39
1524,40,54,1,0.0,0.0,40
41,41,2011,1,0.0,0.0,41
209,42,582,1,0.0,0.0,42
240,43,518,1,0.0,0.0,43
657,44,178,1,0.0,0.0,44
138,45,809,1,0.0,0.0,45
1525,46,54,1,0.0,0.0,46
1818,47,33,1,0.0,0.0,47
569,48,214,1,0.0,0.0,48
1912,49,24,1,0.0,0.0,49
250,50,502,1,0.0,0.0,50
1666,51,44,1,0.0,0.0,51
873,52,128,1,0.0,0.0,52
1125,53,95,1,0.0,0.0,53
513,54,241,1,0.0,0.0,54
1984,55,16,1,0.0,0.0,55
1037,56,104,1,0.0,0.0,56
993,57,111,1,0.0,0.0,57
874,58,128,1,0.0,0.0,58
1526,59,54,1,0.0,0.0,59
702,60,168,1,0.0,0.0,60
766,61,151,1,0.0,0.0,61
776,62,150,1,0.0,0.0,62
870,63,129,1,0.0,0.0,63
1261,64,79,1,0.0,0.0,64
1421,65,64,1,0.0,0.0,65
1593,66,49,1,0.0,0.0,66
724,67,162,1,0.0,0.0,67
1460,68,60,1,0.0,0.0,68
452,69,281,1,0.0,0.0,69
1422,70,64,1,0.0,0.0,70
1710,71,41,1,0.0,0.0,71
795,72,146,1,0.0,0.0,72
1576,73,50,1,0.0,0.0,73
115,74,932,1,0.0,0.0,74
901,75,124,1,0.0,0.0,75
1000,76,110,1,0.0,0.0,76
712,77,166,1,0.0,0.0,77
1339,78,71,1,0.0,0.0,78
664,79,177,1,0.0,0.0,79
3,80,9939,1,0.0,0.0,80
544,81,225,1,0.0,0.0,81
1561,82,51,1,0.0,0.0,82
541,83,226,1,0.0,0.0,83
622,84,194,1,0.0,0.0,84
2017,85,12,1,0.0,0.0,85
1383,86,68,1,0.0,0.0,86
1185,87,88,1,0.0,0.0,87
1802,88,34,1,0.0,0.0,88
940,89,118,1,0.0,0.0,89
126,90,888,1,0.0,0.0,90
1851,91,31,1,0.0,0.0,91
299,92,423,1,0.0,0.0,92
345,93,366,1,0.0,0.0,93
85,94,1191,1,0.0,0.0,94
782,95,149,1,0.0,0.0,95
1403,96,66,1,0.0,0.0,96
539,97,227,1,0.0,0.0,97
1274,98,78,1,0.0,0.0,98
658,99,178,1,0.0,0.0,99
1413,100,65,1,0.0,0.0,100
1606,101,48,1,0.0,0.0,101
123,102,905,1,0.0,0.0,102
1900,103,25,1,0.0,0.0,103
693,104,170,1,0.0,0.0,104
655,105,180,1,0.0,0.0,105
875,106,128,1,0.0,0.0,106
739,107,159,1,0.0,0.0,107
1758,108,37,1,0.0,0.0,108
1803,109,34,1,0.0,0.0,109
967,110,114,1,0.0,0.0,110
1310,111,74,1,0.0,0.0,111
1126,112,95,1,0.0,0.0,112
2028,113,10,1,0.0,0.0,113
88,114,1149,1,0.0,0.0,114
1026,115,107,1,0.0,0.0,115
61,116,1544,1,0.0,0.0,116
249,117,505,1,0.0,0.0,117
585,118,207,1,0.0,0.0,118
132,119,864,1,0.0,0.0,119
833,120,137,1,0.0,0.0,120
432,121,294,1,0.0,0.0,121
825,122,139,1,0.0,0.0,122
1275,123,78,1,0.0,0.0,123
2032,124,8,1,0.0,0.0,124
1577,125,50,1,0.0,0.0,125
916,126,122,1,0.0,0.0,126
1069,127,100,1,0.0,0.0,127
1311,128,74,1,0.0,0.0,128
1594,129,49,1,0.0,0.0,129
524,130,235,1,0.0,0.0,130
725,131,162,1,0.0,0.0,131
1836,132,32,1,0.0,0.0,132
307,133,409,1,0.0,0.0,133
1667,134,44,1,0.0,0.0,134
1178,135,89,1,0.0,0.0,135
1205,136,85,1,0.0,0.0,136
1097,137,97,1,0.0,0.0,137
1148,138,93,1,0.0,0.0,138
1340,139,71,1,0.0,0.0,139
78,140,1301,1,0.0,0.0,140
1636,141,46,1,0.0,0.0,141
974,142,113,1,0.0,0.0,142
570,143,214,1,0.0,0.0,143
1156,144,91,1,0.0,0.0,144
118,145,915,1,0.0,0.0,145
1010,146,109,1,0.0,0.0,146
117,147,916,1,0.0,0.0,147
762,148,152,1,0.0,0.0,148
793,149,147,1,0.0,0.0,149
1857,150,30,1,0.0,0.0,150
923,151,120,1,0.0,0.0,151
1804,152,34,1,0.0,0.0,152
1578,153,50,1,0.0,0.0,153
703,154,168,1,0.0,0.0,154
1149,155,93,1,0.0,0.0,155
1668,156,44,1,0.0,0.0,156
591,157,203,1,0.0,0.0,157
445,158,286,1,0.0,0.0,158
1030,159,106,1,0.0,0.0,159
1001,160,110,1,0.0,0.0,160
1290,161,76,1,0.0,0.0,161
45,162,1911,1,0.0,0.0,162
1579,163,50,1,0.0,0.0,163
865,164,130,1,0.0,0.0,164
251,165,501,1,0.0,0.0,165
1732,166,39,1,0.0,0.0,166
580,167,210,1,0.0,0.0,167
856,168,132,1,0.0,0.0,168
748,169,155,1,0.0,0.0,169
1733,170,39,1,0.0,0.0,170
1397,171,67,1,0.0,0.0,171
1196,172,86,1,0.0,0.0,172
1721,173,40,1,0.0,0.0,173
1882,174,27,1,0.0,0.0,174
1467,175,59,1,0.0,0.0,175
1772,176,36,1,0.0,0.0,176
616,177,197,1,0.0,0.0,177
2002,178,14,1,0.0,0.0,178
560,179,217,1,0.0,0.0,179
331,180,381,1,0.0,0.0,180
1607,181,48,1,0.0,0.0,181
1137,182,94,1,0.0,0.0,182
2010,183,13,1,0.0,0.0,183
185,184,641,1,0.0,0.0,184
1722,185,40,1,0.0,0.0,185
286,186,437,1,0.0,0.0,186
683,187,173,1,0.0,0.0,187
1179,188,89,1,0.0,0.0,188
1669,189,44,1,0.0,0.0,189
1734,190,39,1,0.0,0.0,190
46,191,1892,1,0.0,0.0,191
302,192,419,1,0.0,0.0,192
392,193,328,1,0.0,0.0,193
876,194,128,1,0.0,0.0,194
726,195,162,1,0.0,0.0,195
842,196,135,1,0.0,0.0,196
32,197,2319,1,0.0,0.0,197
1049,198,103,1,0.0,0.0,198
1032,199,105,1,0.0,0.0,199
1438,200,62,1,0.0,0.0,200
1548,201,52,1,0.0,0.0,201
471,202,263,1,0.0,0.0,202
351,203,363,1,0.0,0.0,203
571,204,214,1,0.0,0.0,204
962,205,115,1,0.0,0.0,205
1637,206,46,1,0.0,0.0,206
301,207,421,1,0.0,0.0,207
1638,208,46,1,0.0,0.0,208
1011,209,109,1,0.0,0.0,209
674,210,175,1,0.0,0.0,210
1488,211,57,1,0.0,0.0,211
639,212,186,1,0.0,0.0,212
545,213,225,1,0.0,0.0,213
800,214,144,1,0.0,0.0,214
1038,215,104,1,0.0,0.0,215
71,216,1375,1,0.0,0.0,216
522,217,236,1,0.0,0.0,217
475,218,261,1,0.0,0.0,218
607,219,199,1,0.0,0.0,219
727,220,162,1,0.0,0.0,220
236,221,523,1,0.0,0.0,221
206,222,587,1,0.0,0.0,222
1510,223,55,1,0.0,0.0,223
968,224,114,1,0.0,0.0,224
2003,225,14,1,0.0,0.0,225
820,226,140,1,0.0,0.0,226
243,227,513,1,0.0,0.0,227
1805,228,34,1,0.0,0.0,228
1262,229,79,1,0.0,0.0,229
659,230,178,1,0.0,0.0,230
147,231,767,1,0.0,0.0,231
1039,232,104,1,0.0,0.0,232
172,233,668,1,0.0,0.0,233
1883,234,27,1,0.0,0.0,234
103,235,998,1,0.0,0.0,235
1682,236,43,1,0.0,0.0,236
213,237,577,1,0.0,0.0,237
1744,238,38,1,0.0,0.0,238
910,239,123,1,0.0,0.0,239
1168,240,90,1,0.0,0.0,240
356,241,360,1,0.0,0.0,241
416,242,307,1,0.0,0.0,242
1866,243,29,1,0.0,0.0,243
1354,244,70,1,0.0,0.0,244
252,245,501,1,0.0,0.0,245
777,246,150,1,0.0,0.0,246
1327,247,72,1,0.0,0.0,247
300,248,422,1,0.0,0.0,248
47,249,1867,1,0.0,0.0,249
1169,250,90,1,0.0,0.0,250
461,251,274,1,0.0,0.0,251
342,252,367,1,0.0,0.0,252
